,Sensitivity,Precision,F1,AUC
SEIZURE,0.390279823269514,0.6535141800246609,0.4887044721069617,0.8303131526168922
LPD,0.4277971351142083,0.7161373946856773,0.5356277266117305,0.8501665830508731
GPD,0.6538037486218302,0.7009456264775413,0.6765544780376498,0.9309521867562169
LRDA,0.25854700854700857,0.256627783669141,0.2575838211814795,0.8060450653235276
GRDA,0.6299727520435967,0.4471953578336557,0.5230769230769231,0.8815652945276514
OTHER,0.7687716863289382,0.6363740808823529,0.6963354076309007,0.8090848288445763
