,kl_global,kl_adapted,delta,n
20230,1.084924578666687,1.0829062461853027,0.0020183324813842773,7.0
37481,1.5392022132873535,1.5998709201812744,-0.0606687068939209,7.0
47999,0.40840643644332886,0.49933868646621704,-0.09093225002288818,11.0
23633,1.4176315069198608,1.0491641759872437,0.3684673309326172,28.0
20606,0.6509429216384888,0.6935523748397827,-0.042609453201293945,8.0
62117,0.07933375984430313,0.05310133099555969,0.02623242884874344,3.0
6489,0.23545700311660767,0.2704828679561615,-0.03502586483955383,31.0
49713,0.7044736444950104,0.39580745063722134,0.30866619385778904,42.0
44475,0.21997132897377014,0.2893776595592499,-0.06940633058547974,15.0
18218,1.0257959365844727,0.9627839922904968,0.06301194429397583,12.0
19311,0.41394856572151184,0.2214040756225586,0.19254449009895325,28.0
34314,0.9826034307479858,0.9286243319511414,0.05397909879684448,9.0
57480,1.2865581512451172,0.9277248382568359,0.35883331298828125,20.0
11154,0.6631283164024353,0.45521125197410583,0.20791706442832947,20.0
21367,0.4170735478401184,0.4123077094554901,0.004765838384628296,4.0
53102,0.7322873473167419,0.6290575265884399,0.103229820728302,10.0
61262,0.49390697479248047,0.3864562511444092,0.10745072364807129,19.0
13252,0.5362210869789124,0.4586060643196106,0.07761502265930176,29.0
21996,0.39453795552253723,0.4714574068784714,-0.07691945135593414,46.0
42165,0.3915523588657379,0.3729107677936554,0.01864159107208252,25.0
26574,0.06529442220926285,0.06559164077043533,-0.00029721856117248535,7.0
22147,0.29948779940605164,0.3332947790622711,-0.03380697965621948,16.0
40820,0.6285669803619385,0.6856976747512817,-0.05713069438934326,30.0
49548,0.7794533967971802,0.8135906457901001,-0.03413724899291992,12.0
24619,0.49271902441978455,0.4471256136894226,0.04559341073036194,12.0
56201,0.5031693130731583,0.5824823081493378,-0.0793129950761795,32.0
63749,0.5396295189857483,0.5226625204086304,0.01696699857711792,5.0
38713,0.5625993609428406,0.5747206211090088,-0.012121260166168213,5.0
29521,0.3122263550758362,0.31210416555404663,0.00012218952178955078,9.0
26342,0.5500459671020508,0.42457711696624756,0.12546885013580322,24.0
1069,0.33182916045188904,0.3294200301170349,0.002409130334854126,28.0
6769,1.594977855682373,1.607258677482605,-0.012280821800231934,8.0
49187,1.0007644891738892,1.0496127605438232,-0.04884827136993408,3.0
37979,0.3840199410915375,0.38854241371154785,-0.004522472620010376,20.0
32481,0.5758088231086731,0.5598370432853699,0.015971779823303223,29.0
23337,0.4355654865503311,0.42220747470855713,0.013358011841773987,33.0
8674,0.318200021982193,0.33536192774772644,-0.017161905765533447,19.0
45528,0.404413640499115,0.433850958943367,-0.029437318444252014,47.0
55677,0.15194526314735413,0.34564465284347534,-0.19369938969612122,17.0
30631,1.4194896697998047,0.41717304587364196,1.0023166239261627,149.0
28197,0.5624096393585205,0.5470038056373596,0.015405833721160889,4.0
24945,1.3424564599990845,1.3240875005722046,0.018368959426879883,7.0
64791,0.3241511583328247,0.3468185365200043,-0.022667378187179565,16.0
13521,0.2936883680522442,0.2568299025297165,0.036858465522527695,36.0
2524,0.4970119148492813,0.49924392998218536,-0.0022320151329040527,32.0
30713,4.7457709312438965,4.562579154968262,0.18319177627563477,4.0
65378,0.5735316276550293,0.16217942535877228,0.411352202296257,34.0
42458,0.1652270406484604,0.18965904414653778,-0.024432003498077393,3.0
8478,0.5264796018600464,0.5691075921058655,-0.04262799024581909,14.0
29441,1.543157160282135,0.4389817714691162,1.1041753888130188,63.0
40881,0.5986329913139343,0.5504292249679565,0.04820376634597778,46.0
64704,0.2523140609264374,0.25104260444641113,0.0012714564800262451,24.0
54113,0.43995270133018494,0.3125649094581604,0.12738779187202454,6.0
40611,0.6203628778457642,0.33211398124694824,0.2882488965988159,4.0
28018,0.8288740515708923,0.4675165116786957,0.36135753989219666,12.0
61563,0.566710889339447,0.42841002345085144,0.13830086588859558,21.0
38015,1.333979845046997,1.3572953939437866,-0.02331554889678955,16.0
27228,0.5405585765838623,0.44517382979393005,0.09538474678993225,12.0
55705,0.3600092977285385,0.28648187033832073,0.07352742739021778,35.0
61174,0.5664907097816467,0.48944129049777985,0.07704941928386688,44.0
28769,0.15507178008556366,0.1692710816860199,-0.014199301600456238,3.0
17294,2.4406869411468506,2.3137922286987305,0.12689471244812012,4.0
21884,0.7228115797042847,0.4860466420650482,0.23676493763923645,18.0
16193,0.27878931164741516,0.13969525694847107,0.1390940546989441,6.0
1224,0.49106717109680176,0.5403728485107422,-0.04930567741394043,3.0
35225,0.2746662398179372,0.26346131165822345,0.011204928159713745,80.0
11439,0.15436552464962006,0.14776073396205902,0.006604790687561035,17.0
48902,0.8773339986801147,0.9834949374198914,-0.10616093873977661,21.0
14580,0.059550940990448,0.059160396456718445,0.0003905445337295532,3.0
17884,0.7655524611473083,0.7000570893287659,0.06549537181854248,14.0
24432,0.3692914843559265,0.3648775815963745,0.004413902759552002,27.0
4863,0.8166365623474121,0.8113540410995483,0.0052825212478637695,23.0
10111,0.9932324886322021,1.0497422218322754,-0.05650973320007324,30.0
53731,0.4736279249191284,0.3596453070640564,0.11398261785507202,27.0
44615,0.6207922697067261,0.6012781262397766,0.019514143466949463,29.0
21950,1.1229326725006104,1.1484589576721191,-0.02552628517150879,4.0
