class_,sensitivity,precision,recall,f1,auc
seizure,0.6056985294114864,0.6237576904871633,0.6056985294114864,0.6145954763009402,0.8569471530012074
lpd,0.46689895470356163,0.5890109890105575,0.46689895470356163,0.5208940714208297,0.8482821128717322
gpd,0.6315789473678479,0.5667752442992128,0.6315789473678479,0.597424892204812,0.9123082168112365
lrda,0.3306559571615386,0.22212230215807363,0.3306559571615386,0.265734265253255,0.7772619542208242
grda,0.49456521739092035,0.49341595662239085,0.49456521739092035,0.4939899180727079,0.8677820644336411
other,0.5836354220609571,0.5950369588171608,0.5836354220609571,0.5892810452515267,0.7676101993546363
