fold,kl,accuracy,macro_auc
1,0.8455336689949036,0.5298651252408478,0.8352374259267458
2,0.8205851912498474,0.5553414096916299,0.8434941610644352
3,0.803033173084259,0.5545154185022027,0.843240107628607
